id,title,description,link,image_link,additional_image_link,availability,price,sale_price,brand,product_category,size
192136090199,"OskKosh Salopeta tip rochita, denim/ floral-24L","<p><strong>Detalii</strong></p>
<ul>
<li dir=""ltr"">
<p dir=""ltr""><span>&nbsp;&nbsp;&nbsp;</span><span>Salopeta- rochiță are&nbsp; năsturei laterali pentru &icirc;nchidere</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr""><span>&nbsp;&nbsp;&nbsp;Salopeta are posibilitate de ajustare a lungimii bretelelor</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr""><span>&nbsp;&nbsp;&nbsp;Partea de jos este cu print floral pe toată suprafața pentru un plus de veselie</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr""><span>&nbsp;&nbsp;&nbsp;&Icirc;n partea din față are aplicat un buzunar, pentru a fi c&acirc;t mai chic</span></p>
</li>
</ul>
<p><span><span>&nbsp;</span></span></p>
<h3 dir=""ltr""><span>Material și curățare</span></h3>
<ul>
<li dir=""ltr"">
<p dir=""ltr""><span>&nbsp;&nbsp;Salopeta: 79% bumbac, 20% polyester, 1% elastan</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr""><span>&nbsp;&nbsp;Fustița: 100% bumbac</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr""><span>&nbsp;&nbsp;Se poate spăla la mașină</span></p>
</li>
</ul>",oskkosh-salopeta-tip-rochita-denim-floral-24l.html,,,0,139.0000,,Carter’s,4,24L
28032015,"Oshkosk Pantaloni florali ","<p dir=""ltr""><strong>Detalii</strong></p>
<ul>
<li dir=""ltr"">
<p dir=""ltr""><span>Pantalonii se inchid cu nasture &icirc;n fată ceea ce &icirc;i face să fie c&acirc;t mai practici.</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr""><span>La spate sunt prevăzuți cu elastic, ceea ce &icirc;i face să fie c&acirc;t mai confortabili</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr""><span>Pantalonii au două buzunare laterale</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr""><span>La spate are un buzunar pentru a fi c&acirc;t mai chic</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr""><span>Printul floral &icirc;i face să fie veseli și &icirc;n tendințele actuale ale modei</span></p>
</li>
</ul>
<p dir=""ltr""><strong>Material și curățare</strong></p>
<ul>
<li dir=""ltr"">
<p dir=""ltr""><span>Pantaloni 82% bumbac, 16% polyester, 2% elastan</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr""><span>Se poate spăla la mașină</span></p>
</li>
</ul>",oshkosk-pantaloni-florali.html,https://www.babysafe.ro/media/catalog/product//2/8/28032015.jpg,https://www.babysafe.ro/media/catalog/product//2/8/28032015_1.jpg,1,129.0000,,Carter’s,4,
192136047810,"Oshkosk Pantaloni florali -2 ANI","<p dir=""ltr""><strong>Detalii</strong></p>
<ul>
<li dir=""ltr"">
<p dir=""ltr""><span>Pantalonii se inchid cu nasture &icirc;n fată ceea ce &icirc;i face să fie c&acirc;t mai practici.</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr""><span>La spate sunt prevăzuți cu elastic, ceea ce &icirc;i face să fie c&acirc;t mai confortabili</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr""><span>Pantalonii au două buzunare laterale</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr""><span>La spate are un buzunar pentru a fi c&acirc;t mai chic</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr""><span>Printul floral &icirc;i face să fie veseli și &icirc;n tendințele actuale ale modei</span></p>
</li>
</ul>
<p dir=""ltr""><strong>Material și curățare</strong></p>
<ul>
<li dir=""ltr"">
<p dir=""ltr""><span>Pantaloni 82% bumbac, 16% polyester, 2% elastan</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr""><span>Se poate spăla la mașină</span></p>
</li>
</ul>",oshkosk-pantaloni-florali-2-ani.html,,,0,129.0000,,Carter’s,4,"2 ANI"
192136047827,"Oshkosk Pantaloni florali -3 ANI","<p dir=""ltr""><strong>Detalii</strong></p>
<ul>
<li dir=""ltr"">
<p dir=""ltr""><span>Pantalonii se inchid cu nasture &icirc;n fată ceea ce &icirc;i face să fie c&acirc;t mai practici.</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr""><span>La spate sunt prevăzuți cu elastic, ceea ce &icirc;i face să fie c&acirc;t mai confortabili</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr""><span>Pantalonii au două buzunare laterale</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr""><span>La spate are un buzunar pentru a fi c&acirc;t mai chic</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr""><span>Printul floral &icirc;i face să fie veseli și &icirc;n tendințele actuale ale modei</span></p>
</li>
</ul>
<p dir=""ltr""><strong>Material și curățare</strong></p>
<ul>
<li dir=""ltr"">
<p dir=""ltr""><span>Pantaloni 82% bumbac, 16% polyester, 2% elastan</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr""><span>Se poate spăla la mașină</span></p>
</li>
</ul>",oshkosk-pantaloni-florali-3-ani.html,,,0,129.0000,,Carter’s,4,"3 ANI"
192136047834,"Oshkosk Pantaloni florali -4 ANI","<p dir=""ltr""><strong>Detalii</strong></p>
<ul>
<li dir=""ltr"">
<p dir=""ltr""><span>Pantalonii se inchid cu nasture &icirc;n fată ceea ce &icirc;i face să fie c&acirc;t mai practici.</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr""><span>La spate sunt prevăzuți cu elastic, ceea ce &icirc;i face să fie c&acirc;t mai confortabili</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr""><span>Pantalonii au două buzunare laterale</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr""><span>La spate are un buzunar pentru a fi c&acirc;t mai chic</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr""><span>Printul floral &icirc;i face să fie veseli și &icirc;n tendințele actuale ale modei</span></p>
</li>
</ul>
<p dir=""ltr""><strong>Material și curățare</strong></p>
<ul>
<li dir=""ltr"">
<p dir=""ltr""><span>Pantaloni 82% bumbac, 16% polyester, 2% elastan</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr""><span>Se poate spăla la mașină</span></p>
</li>
</ul>",oshkosk-pantaloni-florali-4-ani.html,,,0,129.0000,,Carter’s,4,"4 ANI"
1001,"Produs test","Lorem Ipsum",produs-test.html,,,1,1.0000,,Carter’s,4,
rexsa456256,rcexwza,rcexwa,rcexwza.html,,,0,10.0000,,,4,
"rexsa456256-2-3 ANI","rcexwza-2-3 ANI",rcexwa,rcexwza-2-3-ani.html,,,1,10.0000,,,4,"2-3 ANI"
"rexsa456256-2-4 ANI","rcexwza-2-4 ANI",rcexwa,rcexwza-2-4-ani.html,,,1,10.0000,,,4,"2-4 ANI"
test-config,test-config,test-config,test-config.html,,,1,1.0000,,,4,
